t,ts,demand,R,R_target,u_hat,spread,rho_t,violated,viol_rate,z
0,2023-10-22 18:00:00,73153.19,82676.53470994899,86868.91103316327,69428.078125,13249.625,0.0,0,0.0,0.8027981
1,2023-10-22 18:15:00,71519.23,84575.3567427551,89005.9414859694,71534.8125,13272.640625,0.0,0,0.0,0.741667
2,2023-10-22 18:30:00,76641.25,86058.37732675254,89518.75868941327,72088.5078125,13241.5859375,0.0,0,0.0,0.9332964
3,2023-10-22 18:45:00,74311.28,88027.45351010433,92621.96460459183,74314.125,13908.28125,0.0,0,0.0,0.84612566
4,2023-10-22 19:00:00,72010.55,89551.56957760874,93107.84040178571,74671.0625,14006.234375,0.0,0,0.0,0.7600486
5,2023-10-22 19:15:00,71703.37,90266.33001012969,91934.10435267858,73639.5,13898.2265625,0.0,0,0.0,0.7485562
6,2023-10-22 19:30:00,67835.4,90464.00055428466,90925.23182397959,72643.71875,13888.28125,0.0,0,0.0,0.60384446
7,2023-10-22 19:45:00,70059.18,89530.95042785896,87353.83346619898,69890.46875,13266.7421875,0.0,0,0.0,0.6870424
8,2023-10-22 20:00:00,72667.98,88742.6661285829,86903.33609693877,69311.578125,13364.28125,0.0,0,0.0,0.78464496
9,2023-10-22 20:15:00,75561.58,88667.59299600293,88492.42235331633,70500.7890625,13668.0625,0.0,0,0.0,0.8929028
10,2023-10-22 20:30:00,77243.81,89341.88105702348,90915.21986607143,72567.2734375,13938.75,0.0,0,0.0,0.95584
11,2023-10-22 20:45:00,69420.44,90356.39809355163,92723.60451211735,74280.4609375,14011.0703125,0.0,0,0.0,0.6631453
12,2023-10-22 21:00:00,76952.18,89652.67310107287,88010.64811862246,71252.515625,12730.984375,0.0,0,0.0,0.9449292
13,2023-10-22 21:15:00,74563.59,90035.28578331477,90928.04870854592,73169.9296875,13490.6640625,0.0,0,0.0,0.85556537
14,2023-10-22 21:30:00,75866.56,90139.23207957034,90381.7734375,73006.078125,13200.140625,0.0,0,0.0,0.90431315
